Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Weight Unit,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status,Metafield: miko.name_ar [single_line_text_field],Metafield: miko.weight_label [single_line_text_field],Metafield: miko.prep_methods [list.single_line_text_field],Metafield: miko.quality_tags [list.single_line_text_field]
veal-escalope,Veal Escalope,"<p>Veal Escalope (اسكالوب بتلو) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Beef Steaks,"Meat & Poultry, Beef Steaks, Veal",TRUE,Title,Default Title,MIKO-VEAL-ESCALOPE-1,500,,deny,manual,360,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/veal?lock=111,1,Veal Escalope — اسكالوب بتلو,FALSE,Veal Escalope (اسكالوب بتلو) | Miko Foods,"Buy Veal Escalope — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,اسكالوب بتلو,500g,"[""Chilled"",""Pan Searing""]","[""Veal"",""Halal""]"
veal-kabab-halla,Veal Kabab Halla,"<p>Veal Kabab Halla (كباب حلة بتلو) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Beef Steaks,"Meat & Poultry, Beef Steaks, Veal",TRUE,Title,Default Title,MIKO-VEAL-KABAB-HALLA-1,500,,deny,manual,360,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/veal?lock=112,1,Veal Kabab Halla — كباب حلة بتلو,FALSE,Veal Kabab Halla (كباب حلة بتلو) | Miko Foods,"Buy Veal Kabab Halla — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,كباب حلة بتلو,500g,"[""Chilled""]","[""Veal"",""Halal""]"
beef-burger,Beef Burger,"<p>Beef Burger (برجر بقري) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Frozen & Ready-to-Cook,"Meat & Poultry, Frozen & Ready-to-Cook, Burgers",TRUE,Weight,50g patties · 350g,MIKO-BEEF-BURGER-1,200,,deny,manual,80,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/hamburger-patty?lock=113,1,Beef Burger — برجر بقري,FALSE,Beef Burger (برجر بقري) | Miko Foods,"Buy Beef Burger — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,برجر بقري,350g / 1kg,"[""Frozen"",""Grilling""]","[""Halal""]"
beef-burger,,,,,,,,Weight,50g patties · 1kg,MIKO-BEEF-BURGER-2,1000,,deny,manual,230,,TRUE,TRUE,g,,,,,,,,,,,
beef-burger,,,,,,,,Weight,100g patties · 1kg,MIKO-BEEF-BURGER-3,1000,,deny,manual,230,,TRUE,TRUE,g,,,,,,,,,,,
cheddar-burger,Cheddar Burger,"<p>Cheddar Burger (برجر شيدر) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Frozen & Ready-to-Cook,"Meat & Poultry, Frozen & Ready-to-Cook, Burgers, Special",TRUE,Title,Default Title,MIKO-CHEDDAR-BURGER-1,120,,deny,manual,130,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/cheeseburger?lock=114,1,Cheddar Burger — برجر شيدر,FALSE,Cheddar Burger (برجر شيدر) | Miko Foods,"Buy Cheddar Burger — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,برجر شيدر,4 pcs · 120g,"[""Frozen"",""Grilling""]","[""Halal""]"
smash-burger,Smash Burger,"<p>Smash Burger (سماش برجر) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Frozen & Ready-to-Cook,"Meat & Poultry, Frozen & Ready-to-Cook, Burgers",TRUE,Title,Default Title,MIKO-SMASH-BURGER-1,500,,deny,manual,145,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/smashburger?lock=115,1,Smash Burger — سماش برجر,FALSE,Smash Burger (سماش برجر) | Miko Foods,"Buy Smash Burger — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,سماش برجر,500g,"[""Frozen"",""Grilling""]","[""Halal""]"
beef-kofta,Beef Kofta,"<p>Beef Kofta (كفتة بقري) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Frozen & Ready-to-Cook,"Meat & Poultry, Frozen & Ready-to-Cook, Kofta & Sausage",TRUE,Weight,350g,MIKO-BEEF-KOFTA-1,350,,deny,manual,75,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/kofta?lock=116,1,Beef Kofta — كفتة بقري,FALSE,Beef Kofta (كفتة بقري) | Miko Foods,"Buy Beef Kofta — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,كفتة بقري,350g / 850g,"[""Frozen"",""Grilling""]","[""Halal""]"
beef-kofta,,,,,,,,Weight,850g,MIKO-BEEF-KOFTA-2,850,,deny,manual,175,,TRUE,TRUE,g,,,,,,,,,,,
oriental-sausage,Oriental Sausage,"<p>Oriental Sausage (سجق شرقي) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Frozen & Ready-to-Cook,"Meat & Poultry, Frozen & Ready-to-Cook, Kofta & Sausage",TRUE,Weight,350g,MIKO-ORIENTAL-SAUSAGE-1,350,,deny,manual,90,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/sausage?lock=117,1,Oriental Sausage — سجق شرقي,FALSE,Oriental Sausage (سجق شرقي) | Miko Foods,"Buy Oriental Sausage — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,سجق شرقي,350g / 850g,"[""Frozen""]","[""Halal"",""Spicy""]"
oriental-sausage,,,,,,,,Weight,850g,MIKO-ORIENTAL-SAUSAGE-2,850,,deny,manual,215,,TRUE,TRUE,g,,,,,,,,,,,
kabab-halla,Kabab Halla,"<p>Kabab Halla (كباب حلة) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Frozen & Ready-to-Cook,"Meat & Poultry, Frozen & Ready-to-Cook, Kofta & Sausage",TRUE,Title,Default Title,MIKO-KABAB-HALLA-1,500,,deny,manual,180,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/kebab?lock=118,1,Kabab Halla — كباب حلة,FALSE,Kabab Halla (كباب حلة) | Miko Foods,"Buy Kabab Halla — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,كباب حلة,500g,"[""Frozen""]","[""Halal""]"
meat-shawarma,Meat Shawarma,"<p>Meat Shawarma (شاورما لحم) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Frozen & Ready-to-Cook,"Meat & Poultry, Frozen & Ready-to-Cook, Egyptian Classics, Egyptian",TRUE,Title,Default Title,MIKO-MEAT-SHAWARMA-1,500,,deny,manual,190,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/shawarma?lock=119,1,Meat Shawarma — شاورما لحم,FALSE,Meat Shawarma (شاورما لحم) | Miko Foods,"Buy Meat Shawarma — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,شاورما لحم,500g,"[""Frozen"",""Marinated""]","[""Halal""]"
rice-kofta,Rice Kofta,"<p>Rice Kofta (كفتة ارز) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Frozen & Ready-to-Cook,"Meat & Poultry, Frozen & Ready-to-Cook, Egyptian Classics, Egyptian",TRUE,Title,Default Title,MIKO-RICE-KOFTA-1,350,,deny,manual,90,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/kofta?lock=120,1,Rice Kofta — كفتة ارز,FALSE,Rice Kofta (كفتة ارز) | Miko Foods,"Buy Rice Kofta — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,كفتة ارز,350g,"[""Frozen""]","[""Halal""]"
hawawshi-meat,Hawawshi Meat,"<p>Hawawshi Meat (لحمة حواوشي) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Frozen & Ready-to-Cook,"Meat & Poultry, Frozen & Ready-to-Cook, Egyptian Classics, Egyptian",TRUE,Title,Default Title,MIKO-HAWAWSHI-MEAT-1,500,,deny,manual,110,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/minced-meat?lock=121,1,Hawawshi Meat — لحمة حواوشي,FALSE,Hawawshi Meat (لحمة حواوشي) | Miko Foods,"Buy Hawawshi Meat — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,لحمة حواوشي,500g,"[""Frozen""]","[""Halal""]"
stuffed-mombar,Stuffed Mombar,"<p>Stuffed Mombar (ممبار محشي) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Frozen & Ready-to-Cook,"Meat & Poultry, Frozen & Ready-to-Cook, Egyptian Classics, Egyptian",TRUE,Title,Default Title,MIKO-STUFFED-MOMBAR-1,500,,deny,manual,90,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/sausage?lock=122,1,Stuffed Mombar — ممبار محشي,FALSE,Stuffed Mombar (ممبار محشي) | Miko Foods,"Buy Stuffed Mombar — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,ممبار محشي,500g,"[""Frozen""]","[""Halal""]"
marinated-liver,Marinated Liver,"<p>Marinated Liver (كبدة متبلة) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Frozen & Ready-to-Cook,"Meat & Poultry, Frozen & Ready-to-Cook, Liver & Offal",TRUE,Weight,350g,MIKO-MARINATED-LIVER-1,350,,deny,manual,75,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/liver?lock=123,1,Marinated Liver — كبدة متبلة,FALSE,Marinated Liver (كبدة متبلة) | Miko Foods,"Buy Marinated Liver — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,كبدة متبلة,350g / 850g,"[""Frozen"",""Marinated""]","[""Halal""]"
marinated-liver,,,,,,,,Weight,850g,MIKO-MARINATED-LIVER-2,850,,deny,manual,180,,TRUE,TRUE,g,,,,,,,,,,,
liver-slices,Liver Slices,"<p>Liver Slices (كبدة شرائح) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Frozen & Ready-to-Cook,"Meat & Poultry, Frozen & Ready-to-Cook, Liver & Offal",TRUE,Title,Default Title,MIKO-LIVER-SLICES-1,500,,deny,manual,105,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/liver?lock=124,1,Liver Slices — كبدة شرائح,FALSE,Liver Slices (كبدة شرائح) | Miko Foods,"Buy Liver Slices — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,كبدة شرائح,500g,"[""Frozen""]","[""Halal""]"
small-livers,Small Livers,"<p>Small Livers (كبدة عصافيري) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Frozen & Ready-to-Cook,"Meat & Poultry, Frozen & Ready-to-Cook, Liver & Offal",TRUE,Title,Default Title,MIKO-SMALL-LIVERS-1,500,,deny,manual,105,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/chicken-liver?lock=125,1,Small Livers — كبدة عصافيري,FALSE,Small Livers (كبدة عصافيري) | Miko Foods,"Buy Small Livers — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,كبدة عصافيري,500g,"[""Frozen""]","[""Halal""]"
minced-beef,Minced Beef,"<p>Minced Beef (لحم مفروم) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Frozen & Ready-to-Cook,"Meat & Poultry, Frozen & Ready-to-Cook, Minced",TRUE,Weight,350g,MIKO-MINCED-BEEF-1,350,,deny,manual,115,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/minced-beef?lock=126,1,Minced Beef — لحم مفروم,FALSE,Minced Beef (لحم مفروم) | Miko Foods,"Buy Minced Beef — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,لحم مفروم,350g / 850g,"[""Frozen""]","[""Halal""]"
minced-beef,,,,,,,,Weight,850g,MIKO-MINCED-BEEF-2,850,,deny,manual,270,,TRUE,TRUE,g,,,,,,,,,,,
pigeon-with-rice,Pigeon with Rice,"<p>Pigeon with Rice (حمام محشي أرز) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Frozen & Ready-to-Cook,"Meat & Poultry, Frozen & Ready-to-Cook, Pigeon",TRUE,Title,Default Title,MIKO-PIGEON-WITH-RICE-1,0,,deny,manual,170,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/squab?lock=127,1,Pigeon with Rice — حمام محشي أرز,FALSE,Pigeon with Rice (حمام محشي أرز) | Miko Foods,"Buy Pigeon with Rice — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,حمام محشي أرز,1 pc,"[""Frozen""]","[""Halal""]"
pigeon-with-freekeh,Pigeon with Freekeh,"<p>Pigeon with Freekeh (حمام محشي فريك) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Frozen & Ready-to-Cook,"Meat & Poultry, Frozen & Ready-to-Cook, Pigeon",TRUE,Title,Default Title,MIKO-PIGEON-WITH-FREEKE-1,0,,deny,manual,170,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/pigeon?lock=128,1,Pigeon with Freekeh — حمام محشي فريك,FALSE,Pigeon with Freekeh (حمام محشي فريك) | Miko Foods,"Buy Pigeon with Freekeh — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,حمام محشي فريك,1 pc,"[""Frozen""]","[""Halal""]"
grilled-pigeon,Grilled Pigeon,"<p>Grilled Pigeon (حمام مشوي) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Frozen & Ready-to-Cook,"Meat & Poultry, Frozen & Ready-to-Cook, Pigeon",TRUE,Weight,1 pc,MIKO-GRILLED-PIGEON-1,0,,deny,manual,130,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/grilled-pigeon?lock=129,1,Grilled Pigeon — حمام مشوي,FALSE,Grilled Pigeon (حمام مشوي) | Miko Foods,"Buy Grilled Pigeon — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,حمام مشوي,1 pc / 2 pcs,"[""Frozen"",""Grilling""]","[""Halal""]"
grilled-pigeon,,,,,,,,Weight,2 pcs,MIKO-GRILLED-PIGEON-2,0,,deny,manual,260,,TRUE,TRUE,g,,,,,,,,,,,
miko-mix,Miko Mix,"<p>Miko Mix (ميكس ميكو) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Frozen & Ready-to-Cook,"Meat & Poultry, Frozen & Ready-to-Cook, Bundles, Bundle",TRUE,Title,Default Title,MIKO-MIKO-MIX-1,1000,,deny,manual,230,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/meat-assortment?lock=130,1,Miko Mix — ميكس ميكو,FALSE,Miko Mix (ميكس ميكو) | Miko Foods,"Buy Miko Mix — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,ميكس ميكو,1kg,"[""Frozen""]","[""Halal"",""Bundle""]"
miko-triple-deal,Miko Triple Deal,"<p>Miko Triple Deal (عرض ميكو التربل) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Frozen & Ready-to-Cook,"Meat & Poultry, Frozen & Ready-to-Cook, Bundles, Bundle",TRUE,Title,Default Title,MIKO-MIKO-TRIPLE-DEAL-1,1000,,deny,manual,235,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/meat-platter?lock=131,1,Miko Triple Deal — عرض ميكو التربل,FALSE,Miko Triple Deal (عرض ميكو التربل) | Miko Foods,"Buy Miko Triple Deal — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,عرض ميكو التربل,1kg,"[""Frozen""]","[""Halal"",""Best Deal""]"
pomme-frites-boom,Pomme Frites (Boom),"<p>Pomme Frites (Boom) (بطاطس بوم فريت) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Frozen & Ready-to-Cook,"Meat & Poultry, Frozen & Ready-to-Cook, Sides",TRUE,Title,Default Title,MIKO-POMME-FRITES-BOOM-1,2500,,deny,manual,135,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/french-fries?lock=132,1,Pomme Frites (Boom) — بطاطس بوم فريت,FALSE,Pomme Frites (Boom) (بطاطس بوم فريت) | Miko Foods,"Buy Pomme Frites (Boom) — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,بطاطس بوم فريت,2.5kg,"[""Frozen""]",[]
meat-samosa,Meat Samosa,"<p>Meat Samosa (سمبوسة لحم) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Frozen & Ready-to-Cook,"Meat & Poultry, Frozen & Ready-to-Cook, Appetizers, Appetizers",TRUE,Title,Default Title,MIKO-MEAT-SAMOSA-1,0,,deny,manual,110,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/samosa?lock=133,1,Meat Samosa — سمبوسة لحم,FALSE,Meat Samosa (سمبوسة لحم) | Miko Foods,"Buy Meat Samosa — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,سمبوسة لحم,10 pcs,"[""Frozen""]","[""Halal""]"
cheese-samosa,Cheese Samosa,"<p>Cheese Samosa (سمبوسة جبن) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Frozen & Ready-to-Cook,"Meat & Poultry, Frozen & Ready-to-Cook, Appetizers, Appetizers",TRUE,Title,Default Title,MIKO-CHEESE-SAMOSA-1,0,,deny,manual,85,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/samosa?lock=134,1,Cheese Samosa — سمبوسة جبن,FALSE,Cheese Samosa (سمبوسة جبن) | Miko Foods,"Buy Cheese Samosa — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,سمبوسة جبن,10 pcs,"[""Frozen""]",[]
kibbeh,Kibbeh,"<p>Kibbeh (كبيبة) — halal, prepared fresh by Miko Foods and delivered across Greater Cairo.</p>",Miko Foods,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs",Frozen & Ready-to-Cook,"Meat & Poultry, Frozen & Ready-to-Cook, Appetizers, Appetizers",TRUE,Title,Default Title,MIKO-KIBBEH-1,80,,deny,manual,90,,TRUE,TRUE,g,https://loremflickr.com/1000/1000/kibbeh?lock=135,1,Kibbeh — كبيبة,FALSE,Kibbeh (كبيبة) | Miko Foods,"Buy Kibbeh — halal, fresh daily, same-day delivery across Cairo. Miko Foods.",active,كبيبة,5 pcs · 80g,"[""Frozen""]","[""Halal""]"
